Political_ID,Name_Political,Date_Political,Headline_Political,Description_Political
300,government+policy,"Fri, Feb 3, 2017, 06:00",Getting to the core of Europe’s case against Apple and Ireland," Competition commissioner Margrethe Vestager has the iPhone giant in her sights   
            "
301,government+policy,"Thu, Feb 2, 2017, 14:40",Brexit White Paper: the key points," Britain has published a document setting out its plans for negotiating leaving the EU   
            "
302,government+policy,"Fri, Jan 20, 2017, 20:58",Markets give muted reaction to Donald Trump  speech," US stocks hold steady while  the dollar eases back against  rivals after inauguration   
            "
303,government+policy,"Thu, Jan 19, 2017, 13:00",Draghi urges critics to ‘be patient’ and wait for recovery," European Central Bank  keeps rates unchanged, ready to extend bond purchases   
            "
304,government+policy,"Tue, Jan 17, 2017, 18:33",North  ‘deeply worried’ about future of cross-Border trade," Businesses fear impact of potential customs tariffs despite May’s reassurances    
            "
305,government+policy,"Tue, Jan 17, 2017, 17:16",Irish business groups concerned over ‘aggressive’ Brexit stance," Ibec says hardline attitude risks damaging UK’s close relationship with Ireland   
            "
306,government+policy,"Tue, Jan 17, 2017, 07:48",Ireland is less innovative than it was last year - Bloomberg index," Ireland drops a place as Nordic nations dominate the top 15 most innovative countires, while South Korea reigns supreme and Russia is dealt a huge blow   
            "
307,government+policy,"Tue, Jan 17, 2017, 07:22",Refresher: What is the customs union  and why might the UK leave it?," The British government is split on how close a partnership it should maintain on trade   
            "
308,government+policy,"Tue, Jan 17, 2017, 06:29",Government’s property policy: tentative at best ," Impact of Help-to-Buy scheme will not affect enough buyers to accelerate inflation   
            "
309,government+policy,"Mon, Jan 9, 2017, 09:51",What Theresa May’s latest Brexit message means for Ireland ," British prime minister’s message to Europe:  ‘We’re leaving, we’re coming out’   
            "
310,government+policy,"Sun, Jan 8, 2017, 18:00",Economists as  pessimistic as ever about Brexit Britain’s  prospects," Annual  poll shows few encouraged by economic resilience since referendum    
            "
311,government+policy,"Sat, Jan 7, 2017, 12:12",A rock hard Brexit looks increasingly on the cards," Departure of UK’s ambassador to the EU and strong economy emboldens Brexiteers   
            "
312,government+policy,"Fri, Jan 6, 2017, 07:24","We contribute billions to US economy, Toyota tells Trump"," Japanese company calmly explains it employs more than 136,000 people in America   
            "
313,government+policy,"Thu, Jan 5, 2017, 14:58",US jobless claims fall to near 43-year low," Four-week moving average of claims fell 5,750 to 256,750 last week   
            "
314,government+policy,"Fri, Dec 30, 2016, 06:00","After 2016, economic forecasting for 2017 has got to be perilous"," Business review of 2016: Challenges for next year include Trump’s election, Brexit, euro zone issues and the threat of election-related upheavals in Europe   
            "
315,government+policy,"Mon, Dec 19, 2016, 07:16",Finland plans to hand out no-strings cash to unemployed ," The Nordic country will give  cash to 2,000  in a universal basic income experiment   
            "
316,government+policy,"Sat, Dec 17, 2016, 05:47","Do we really need 30,000 new homes a year?"," ESRI’s estimate of structural demand is based on   household formation rates   
            "
317,government+policy,"Thu, Dec 15, 2016, 17:47",Bank of England says sterling recovery could help with inflation," UK rates unchanged at record low of 0.25%   
            "
318,government+policy,"Wed, Dec 14, 2016, 10:15",The US rate hike – what does it mean for Ireland?," Move could be good for Irish exporters but Trump’s fiscal plans throw spanner in works   
            "
319,government+policy,"Tue, Dec 13, 2016, 17:06",Martin Wolf: China crisis is just a matter of time," One-party Leninist rule allied with endemic corruption does not bode well for future   
            "
320,government+policy,"Thu, Dec 8, 2016, 08:27",Three things to look out for at today’s ECB meeting," ECB has to make some big policy calls while trying not to set off a panic in the markets   
            "
321,government+policy,"Mon, Dec 5, 2016, 16:09","UK will have to renegotiate 56 trade deals, says economist"," ESRI conference told of  mammoth challenge facing Britain after it withdraws   
            "
322,government+policy,"Mon, Dec 5, 2016, 00:09",Cliff Taylor: Key implications for Ireland of Italy’s No vote," All eyes on the markets as euro and Italian bank shares hit by volatile swings   
            "
323,government+policy,"Fri, Dec 2, 2016, 14:17",US jobless rate falls to lowest level in nine years," Fed  rate rise  in December now almost certain as unemployment rate drops to 4.6%   
            "
324,government+policy,"Mon, Nov 28, 2016, 16:12","Britain may leave EU with no future trade deal, Bruton warns"," Former taoiseach lays out possible ‘doomsday scenario’ for Irish trade   
            "
325,government+policy,"Fri, Nov 25, 2016, 06:42",Japan eyes only modest spending rise next year," PM seeks to both bolster growth and rein in the developed world’s heaviest debt burden   
            "
326,government+policy,"Wed, Nov 23, 2016, 14:03","US jobless figures rise but remain below 300,000 threshold"," Data show new orders for US-manufactured capital goods rebounding in October   
            "
327,government+policy,"Wed, Nov 9, 2016, 07:35","Cliff Taylor: First Brexit, now Trump – what the result means for Ireland"," New US president’s trade and tax policies carry risks for a small, open economy like ours   
            "
328,government+policy,"Mon, Nov 7, 2016, 05:34",Trump victory would trigger ‘violent’ market reaction ," Investors still don’t see him prevailing, says director of political risk consultancy Eurasia   
            "
329,government+policy,"Mon, Nov 7, 2016, 01:00","Economic impact for us after Brexit will be ‘severe’, warns report "," Cost of a ‘hard Brexit’ to Ireland in some areas may be even worse than in UK   
            "
330,government+policy,"Mon, Nov 7, 2016, 01:00",Brexit effect expected to shrink economy by nearly 4% ," Department of Finance and top State agency forecasts ‘severe’ long-term consequences   
            "
331,government+policy,"Fri, Oct 21, 2016, 19:37",EU’s trade deal with Canada on brink of collapse amid rancour," EU summit: Canadian trade minister declares deal dead as EU’s trade reputation takes hit   
            "
332,government+policy,"Fri, Oct 21, 2016, 06:00", Margrethe Vestager not afraid to take on Europe’s taxing issues," EU competition commissioner is adamant Apple tax ruling is not  political issue   
            "
333,government+policy,"Wed, Oct 19, 2016, 14:53","Brexit means a slow squeeze, not a big hit"," Underlying signs point to higher unemployment and a slowdown in hiring   
            "
334,government+policy,"Fri, Oct 14, 2016, 20:16",Carney and Yellen ease off inflation target to boost economies," Bank of England governor asserts independence from government following comments by Theresa May   
            "
335,government+policy,"Fri, Oct 14, 2016, 15:29",Mushroom sector crisis exposes flaws in Irish response to  Brexit," Collapse in value of sterling has wiped out profit margins of producers selling into UK   
            "
336,government+policy,"Wed, Oct 12, 2016, 15:41",Martin Wolf: Markets teach Theresa May a lesson over Brexit," British PM’s loose talk over UK’s EU exit has heightened possibility of economic crisis   
            "
337,government+policy,"Tue, Oct 11, 2016, 14:48",Budget 2017: Full text of Michael Noonan’s speech," Read about all the measures announced by Minister for Finance in Dáil today    
            "
338,government+policy,"Sun, Oct 9, 2016, 16:35",Lane warns of Brexit-related volatility as sterling slumps ," Central Bank governor says harder versions of Brexit will result in more   revisions to economic growth   
            "
339,government+policy,"Fri, Oct 7, 2016, 06:00",Budget 2017: the crunch points,"   Next week’s budget will be no giveaway and is likely to leave the public distinctly underwhelmed 
            "
340,government+policy,"Wed, Oct 5, 2016, 17:15",Martin Wolf: Deutsche’s woes show crisis has not gone away," Banking will remain an accident waiting to happen until proper safeguards are in place   
            "
341,government+policy,"Tue, Oct 4, 2016, 14:19",IMF downgrades growth forecast for Irish economy ," Fund says Irish economy will grow 4.9 per cent  in 2016 and 3.2 per cent in 2017    
            "
342,government+policy,"Mon, Oct 3, 2016, 18:26",Business groups reiterate need for ‘Brexit-proof’ budget," Fears of a hardline Brexit as sterling hits three-year low against the euro   
            "
343,government+policy,"Mon, Oct 3, 2016, 07:22",Sterling slumps to new three-year low against euro ," British currency  trades at  87 cents after Theresa May’s announcement on Article 50     
            "
344,government+policy,"Mon, Oct 3, 2016, 05:47",House prices up more than 7% as supply  constraints hit," Two quarterly reports from MyHome and Daft show prices rising but supply drying up   
            "
345,government+policy,"Thu, Sep 29, 2016, 19:33",Irish insurance spend four times higher than EU average," Washington-based organisation highlights need for tough supervision of sector   
            "
346,government+policy,"Mon, Sep 26, 2016, 05:24",Chris Johns: Sterling vulnerable as hard Brexit looms," As Britain moves towards exit talks, the UK currency is in the firing line   
            "
347,government+policy,"Sat, Sep 24, 2016, 18:40","Budget plan to help first-time buyers will backfire, warns economist"," Ronan Lyons says tax relief for those struggle to buy property will only increase prices   
            "
348,government+policy,"Fri, Sep 23, 2016, 06:25",Door closing on prospects of  deal to open borders to trade  ," EU officials concede TTIP  likely to be parked until new US administration is bedded in    
            "
349,government+policy,"Wed, Sep 21, 2016, 17:28",Martin Wolf: UK faces grim but unavoidable hard Brexit," Halfway houses between EU membership and hard exit from EU are uninhabitable   
            "
350,government+policy,"Wed, Sep 21, 2016, 14:50",OECD warns governments of ‘low-growth trap’," Global growth set to remain at about 3 per cent this year and next   
            "
351,government+policy,"Wed, Sep 21, 2016, 10:47",UK deficit leaves Hammond few options for Brexit budget boost," August shortfall  of £10.55 billion narrows chancellor’s room for manoeuvre    
            "
352,government+policy,"Wed, Sep 21, 2016, 07:30",Paul Krugman: how we vote in US election really matters," Has anybody actually read the Libertarian candidate’s manifesto?   
            "
353,government+policy,"Fri, Sep 16, 2016, 06:54",Apple row underlines why corporates need  foreign policy ," Media proliferation means  the actions of  firms are increasingly under the microscope   
            "
354,government+policy,"Tue, Sep 13, 2016, 04:00",Brexit could darken already grim financial picture," Belfast Briefing: Northern Ireland Economic Outlook shows sharply slowed growth even before Brexit    
            "
355,government+policy,"Thu, Sep 8, 2016, 12:08",What to watch out for in today’s ECB rates meeting," The markets will seek clues on plans to boost the euro zone economy   
            "
356,government+policy,"Thu, Sep 8, 2016, 12:08",German growth expected to halve in 2017 as Brexit bites," Think tank slashes 2017 growth outlook to 1 per cent   
            "
357,government+policy,"Thu, Sep 8, 2016, 10:43",British rebound after Brexit vote extends to housing and jobs," UK firms add permanent staff and spend more on temporary workers   
            "
358,government+policy,"Wed, Sep 7, 2016, 17:58",Calls for more action to stop vulture funds using tax loophole," Michael Noonan’s changes to legislation seek to halt non-payment of taxes on profits   
            "
359,government+policy,"Tue, Sep 6, 2016, 08:03",Apple ‘pot of gold’ could be boon for Irish bonds," Windfall could cut national debt by up to 10 per cent and narrow German debt spread   
            "
360,government+policy,"Mon, Sep 5, 2016, 12:02",The transatlantic trade pact that risks more harm than good," It would be  unwise for European  politicians to push  policies to liberalise global trade and finance even further   
            "
361,government+policy,"Fri, Sep 2, 2016, 12:00","Apple windfall is ‘fool’s gold’,  former IDA chief warns"," Padraic White says ruling marks latest attempt by EU to get greater control over Ireland’s corporate taxes - and must be contested   
            "
362,government+policy,"Fri, Aug 26, 2016, 06:00","No quick fix for home rental crisis, say experts "," As rents reach new peak, experts says situation likely to get worse before getting better   
            "
363,government+policy,"Fri, Aug 19, 2016, 11:32",City of London wants Swiss-style access to EU market," Norway model  seen as less attractive for UK finance sector which wants unique trade deal   
            "
364,government+policy,"Fri, Aug 19, 2016, 05:35",Brexit fuels debate over State’s minimum wage," Business groups seize on UK vote and Low Pay Commission dissent to oppose hikes   
            "
365,government+policy,"Sun, Aug 14, 2016, 17:57",Brexit’s economic impact on show this week," This week we start to see Brexit-era  in hard numbers with economic data published for July   
            "
366,government+policy,"Thu, Aug 11, 2016, 05:00",UK government bonds turn negative and extend historic rally ," Bank of England falls short of target to buy more than £1 billion of long-dated debt   
            "
367,government+policy,"Tue, Aug 9, 2016, 12:35",Chinese producer price deflation slows further," Pressure eases for central bank to cut rates   
            "
368,government+policy,"Tue, Aug 9, 2016, 11:51",Danes need to prepare for Irish style property slowdown," Warning of price-fall ‘shell shock’  in market where  negative interest rates distort prices   
            "
369,government+policy,"Thu, Aug 4, 2016, 20:05", Scale of monetary firepower unleashed shakes  markets," The £100bn funding available for banks reflects the fact further rates cuts have a diminished impact   
            "
370,government+policy,"Thu, Aug 4, 2016, 12:43",Property prices to continue to rise in spite of Brexit," New S&P forecast shows Irish housing market to be second strongest in Europe this year   
            "
371,government+policy,"Thu, Aug 4, 2016, 07:58","Sterling slips before BoE rate call, oil boosts Asian shares"," Japan’s Nikkei rebounds to end the day up 1.1 per cent as yen weakens   
            "
372,government+policy,"Wed, Aug 3, 2016, 17:24",Bank of England expected to cut interest rates to record low," Post-Brexit slowdown expected to shrink Britain’s economy and lead to first rate cut in seven years   
            "
373,government+policy,"Wed, Aug 3, 2016, 06:00",Shot at redemption: UK can’t risk  long escape from downturn," Bank of England  expected to act to cut rates rather than delay   
            "
374,government+policy,"Fri, Jul 29, 2016, 06:00",Monsieur Non and Scourge of the City face hard task over Brexit," Appointment of David Davis and Michel Barnier flag difficulty of EU/UK talks   
            "
375,government+policy,"Thu, Jul 21, 2016, 16:01",ECB leaves interest rates unchanged as expected," ‘Too early’ to assess impact of Brexit vote on euro zone recovery   
            "
376,government+policy,"Wed, Jul 20, 2016, 13:14","Martin Wolf: Trump’s answer is ‘clear, simple and wrong’"," Stagnating incomes will not be solved by a dose of populist protectionism   
            "
377,government+policy,"Tue, Jul 19, 2016, 12:00",Theresa May faces pressure on Brexit but opportunities exist," With TTIP at risk, the UK could theoretically end up with a better position than before   
            "
378,government+policy,"Thu, Jul 14, 2016, 20:45",New UK finance minister pledges to restore confidence after Brexit  ," Philip Hammond   has  reputation   as  safe pair of hands after holding a number of portfolios   
            "
379,government+policy,"Wed, Jul 13, 2016, 15:51",UK interest rates may come down but higher inflation is coming," This is something that neither consumers nor investors have had to worry about for some time   
            "
380,government+policy,"Fri, Jul 8, 2016, 06:30",Carbon tax essential   for  decarbonising our economies," Emissions trading scheme ran aground when recession made permits worthless   
            "
381,government+policy,"Wed, Jul 6, 2016, 06:45",‘Only adult in the room’ Carney puts markets on notice," Commercial property trading suspended amid Brexit vote jitters   
            "
382,government+policy,"Tue, Jul 5, 2016, 11:59",Bank of England eases rules for banks to meet Brexit challenge," Bank says that risks are beginning to ‘crystalise’   
            "
383,government+policy,"Mon, Jul 4, 2016, 07:30",Ibec paper stresses potential of digital economy," Report says value of Ireland’s digital economy has potential to reach €21.4bn by 2020   
            "
384,government+policy,"Mon, Jul 4, 2016, 01:00",Danny McCoy: Brexit – Ireland must compete and collaborate with UK," We have a shared interest in a more open, competitive EU, better equipped to face the next wave of global economic challenges   
            "
385,government+policy,"Fri, Jul 1, 2016, 05:00",Brexit: Northern Ireland businesses are in turmoil over  uncertain future," No one knows what the result will ultimately mean for firms in the province   
            "
386,government+policy,"Thu, Jun 30, 2016, 16:35",Bank of England  sees need for summer stimulus after Brexit shock," Mark Carney says ‘economic outlook has deteriorated’   
            "
387,government+policy,"Wed, Jun 29, 2016, 15:56","For God’s sake, Boris, get a grip"," Johnson has no post-Brexit plan, and it shows, but for the UK’s sake he needs one now, and quick   
            "
388,government+policy,"Mon, Jun 27, 2016, 07:41",Bank of Japan can hold off on expanding monetary stimulus," BOJ can intervene if necessary but won’t if Brexit fall-out proves temporary    
            "
389,government+policy,"Fri, Jun 24, 2016, 09:51",No humble Brexit pie for Irishman behind half of UK’s sandwiches," Patrick Coveney not surprised, but much of corporate Ireland concerned about volatility   
            "
390,government+policy,"Mon, Jun 20, 2016, 05:00",Brexit: Markets braced for ‘extreme volatility’ ahead of vote," Anxiety mounts concerning outcome which wiped $1 trillion from stock values 
            "
391,government+policy,"Sun, Jun 19, 2016, 20:46",Brazil plans budget freeze for up to 20 years," Move would cut uncertainty on public finances, says finance minister Henrique Meirelles   
            "
392,government+policy,"Sat, Jun 18, 2016, 05:55","Brexit to prompt major cut in Irish growth forecasts, warns ESRI "," Think tank says Ireland’s trade position has already beed damaged by uncertainty   
            "
393,government+policy,"Fri, Jun 17, 2016, 07:30",British business braces for Brexit," Amid speculation  on  what awaits the UK, many deals and transactions are on hold    
            "
394,government+policy,"Fri, Jun 17, 2016, 01:00",Bank of England warns on Brexit vote,"   ‘Leave’  would hurt global economy and cause sterling to fall further, says bank 
            "
395,government+policy,"Tue, Jun 14, 2016, 07:33",What might happen if the UK leaves the EU: The first 100 days," There’s no road map for European authorities in order to avoid alarmist leak   
            "
396,government+policy,"Sat, Jun 11, 2016, 12:00",Eight combustible areas that require Michael Noonan’s attention," Growth, banks, Nama, car insurance, mortgages, Apple – the returning Minister for Finance has much on his plate   
            "
397,government+policy,"Fri, Jun 10, 2016, 12:21",Further policy fixes needed to speed up European recovery ," OECD surveys find unemployment, low investment and sluggish credit hamper growth   
            "
398,government+policy,"Fri, Jun 10, 2016, 01:00",Fiscal council report challenges new politics," Government is at risk this year of breaching the very fiscal rules it pledged to observe only weeks ago   
            "
399,government+policy,"Tue, Jun 7, 2016, 21:00",Painful choices still hang over Greece," The IMF now acknowledges that the programme agreed in 2010 was wildly unrealistic    
            "
400,government+policy,"Wed, Jun 1, 2016, 16:14","Brexit could lead to 1.2% fall in Irish GDP, OECD warns"," Government cautioned against risk of overheating in economy    
            "
401,government+policy,"Mon, May 30, 2016, 07:43",Is Stockholm’s house party over?," Property prices look set to fall as regulator looks  to limit  ratio of households’ borrowing  to income at 600%   
            "
402,government+policy,"Tue, May 24, 2016, 01:00",Economist Brendan Walsh inspired generations of students ," Brendan Walsh was a sharp analyst of Irish economics and society    
            "
403,government+policy,"Fri, May 20, 2016, 01:00",Markets cautiously applaud Kenny following Moody’s  rating upgrade," Agreement on Government  reassures markets that budget deficit will be cut   
            "
404,government+policy,"Wed, May 18, 2016, 01:00",Government spending plans may fall foul of EU - Ibec," Employers’ group says capital spending proposals could break fiscal rules    
            "
405,government+policy,"Tue, May 17, 2016, 17:27",Paul Krugman: We are hypocrites when it comes to family values," One presidential candiate has a plan for chid care, the other couldn’t care less   
            "
406,government+policy,"Tue, May 17, 2016, 06:20",Breaking up (government departments) is hard to do," The  problems facing the Government will not be solved by reorganising departments    
            "
407,government+policy,"Mon, May 16, 2016, 10:37",China’s central bank investigates bad loan data at banks," Build-up of bad debts follows the state-driven credit boom of 2009   
            "
408,government+policy,"Fri, May 13, 2016, 18:20",Ireland regains coveted A-grade credit rating ," Moody’s  says that budget deficit should continue to fall under new government   
            "
409,government+policy,"Fri, May 13, 2016, 08:54","German economy powers ahead, but exports cloud picture"," Economy grew by 0.7% in the first three months, the highest  rate since  early  2014   
            "
410,government+policy,"Fri, May 13, 2016, 06:45",Time to end Ireland’s ‘failed developer-led property market’ ," Ireland has an emergency and the new Minister for Housing is promising a powerful response. What’s at stake?   
            "
411,government+policy,"Wed, May 11, 2016, 15:30",Martin Wolf: What works for Germany does not work for euro zone," Europe’s heavyweight needs to understand that its part of a club    
            "
412,government+policy,"Fri, May 6, 2016, 21:38",Analysis: return of Michael Noonan a comfort to markets,"  Minister of Finance’s next term  presents  opportunity to consolidate  progress    
            "
413,government+policy,"Wed, May 4, 2016, 14:48",Martin Wolf: Brexit will damage the UK," Referendum is not about sovereignty. It is about how best to exercise the country’s power. And that is best done in the EU   
            "
414,government+policy,"Tue, May 3, 2016, 11:16",Ireland to be EU’s fastest-growing economy in 2016," European Commission revises its growth forecast for Ireland upwards to  4.9%    
            "
415,government+policy,"Tue, May 3, 2016, 06:00",John FitzGerald: Ireland must protect  interests under Brexit," Anything that may  destabilise the Belfast Agreement would be a major concern    
            "
416,government+policy,"Wed, Apr 27, 2016, 17:20",Martin Wolf: Debunking 10 Brexit shibboleths," Those in favour of leaving offer fantasies of damage done by staying and of opportunity opened by departure    
            "
417,government+policy,"Fri, Apr 22, 2016, 06:15",Rising swell of  apprehension as political drift  continues ," Bickering over the next government brings concerns that  lack of a deal could end badly   
            "
418,government+policy,"Tue, Apr 19, 2016, 01:00",Special Irish trade deal ‘impossible’ after  Brexit," British work and pensions secretary Stephen Crabb warns of likely trade barriers    
            "
419,government+policy,"Mon, Apr 18, 2016, 12:00",German stance on ECB shows European ideal is defunct," There is a reason why this is happening - not a good one, but a powerful one. Money.   
            "
420,government+policy,"Sat, Apr 16, 2016, 01:00",Turkey’s economy is booming despite dark shadow of volatility ," Attacks, war and a boycott by Russia have failed to curb trade, consumption and growth    
            "
421,government+policy,"Fri, Apr 15, 2016, 07:23",China first-quarter economic growth slowest since 2009 ," GDP expanded 6.7% in first three months of the year to  15.9 trillion yuan (€2.18 trillion)   
            "
422,government+policy,"Thu, Apr 14, 2016, 22:11",Ireland among 13 states that may oppose EU-Mercosur trade deal," States do not want EU opened to Argentinian and Brazilian farm products   
            "
423,government+policy,"Sun, Apr 3, 2016, 19:00",Panama Papers: The secret offshore world of the elite," Millions of documents show heads of state, criminals and celebrities using secret hideaways in tax havens   
            "
438, In the U.S.,"Fri, Apr 1, 2016, 01:00",Ciarán Hancock: Minister for housing needed to sort out crisis ," Quarterly economic observer forecasts GDP growth of 4.4% in 2016   
            "
439, Mossack Fonseca’s home country,"Tue, Mar 29, 2016, 01:00",Farming union in Northern Ireland rejects calls for Brexit ," Political leaders would do well to keep one eye on shaky global economy   
            "
440, The challenge that reformers and law enforcers face is how to find and stop criminal behavior when it’s buried beneath layers of secrecy. The most effective tool for breaking through this secrecy has been leaks of offshore documents that have dragged hidden dealings into the open.,"Tue, Mar 29, 2016, 01:00",British chancellor George Osborne is in traps of his own devising," A vote to leave EU would have profound  consequences for both countries   and EU itself   
            "
441, Document leaks uncovered by ICIJ and its media partners have prompted legislation and official investigations in dozens of countries - and fanned fears among offshore customers who worry their secrets will be revealed.,"Fri, Mar 25, 2016, 10:26",Nevin Institute: Unemployment to fall below 8% next year," Addressing housing  in Ireland can be helped by looking at good and bad policies in the UK    
            "
442, In April 2013,"Fri, Mar 25, 2016, 07:30",Dáil ambles as Draghi prepares bazooka," President Macri secures €4.3bn agreement with creditors – but still faces local hurdles    
            "
443, Mossack Fonseca told customers not to worry. It said its commitment to its clients’ privacy “has always been paramount,"Wed, Mar 23, 2016, 01:00",Brexit poses major  risks for the UK and Ireland," Employment data reinforces economy’s strength, easing fears of recession   
            "
444, * This story was reported and written by Bastian Obermayer,"Tue, Mar 22, 2016, 01:00",John FitzGerald: Learning from Britain’s housing crisis ," Will the potential for political instability affect investor and consumer confidence?   
            "
446,government+policy,"Tue, Mar 15, 2016, 09:57","US job numbers increased by 242,000 last month"," Exchequer returns show that Revenue collected €7.2bn by the end of February    
            "
447,government+policy,"Thu, Mar 10, 2016, 17:14",Can we have business as usual in Ireland’s ruptured political landscape?," Result of vote unlikely to cause big change in Irish fiscal policy, says ratings agency   
            "
448,government+policy,"Thu, Mar 10, 2016, 14:25",There should be no time for anything that could hurt recovery," Cost of State borrowing eases as Fitch says it expects further deficit reductions   
            "
449,government+policy,"Tue, Mar 8, 2016, 01:00",Tax receipts come in ahead of target ," After four years of buoyant growth it is important to consider whether the economy is expanding beyond its potential   
            "
450,government+policy,"Sat, Mar 5, 2016, 07:00",Moody’s stays low-key after general election," FG and FF alignment seems to be the ‘only’ option, says Goodbody economist   
            "
451,government+policy,"Fri, Mar 4, 2016, 14:04",Markets  unfazed by uncertainty over government," Populism makes position facing any minority government more problematic    
            "
452,government+policy,"Fri, Mar 4, 2016, 07:30",Overheating Irish economy would need urgent remedial action  ," Praise for Ireland’s ‘remarkable’ rebound tempered by concern over tax, health and spending    
            "
453,government+policy,"Fri, Mar 4, 2016, 06:30",State borrowing costs may be forced up," Boris Johnson’s intervention in Brexit debate prompted selling of Irish debt   
            "
454,government+policy,"Wed, Mar 2, 2016, 16:38","Business wants stability, but who knows now what it will get?"," Lack of transparency about market turmoil unsettles international investors   
            "
455,government+policy,"Wed, Mar 2, 2016, 01:00",Cantillon: Gushing European Commission report comes too late for voters ," Of  four main parties in #ge16, Labour is only one that gets close to indexation   
            "
456,government+policy,"Tue, Mar 1, 2016, 01:00",Cantillon: Markets so far not showing signs of anxiety over election," Analysis: Cost of State borrowing up as future Irish government remains uncertain
            "
457,government+policy,"Tue, Mar 1, 2016, 01:00",Global growth fears cast shadow over G20 summit in Shanghai,"   Court received  37,000   complaints   arguing   programme amounted to illegal  financing    
            "
458,government+policy,"Mon, Feb 29, 2016, 01:01",John FitzGerald: Main parties’ manifestos fall short on  welfare payments," Central Bank is now charging banks 0.1% for reserves    
            "
459,government+policy,"Mon, Feb 29, 2016, 01:00",Brexit and election fears put investors on alert," The markets are saying they are losing faith in Draghi’s pledge to do ‘whatever it takes’   
            "
460,government+policy,"Sat, Feb 27, 2016, 01:00",ECB defends  bond-buying plan in German court," Private consumption, which makes up 60% of GDP, down 0.8 % in October to December   
            "
461,government+policy,"Sat, Feb 27, 2016, 01:00","BOJ launches negative rates, already dubbed a failure by markets"," If you really want to know what’s going on take a look at  the Tax Strategy Group papers   
            "
462,government+policy,"Thu, Feb 25, 2016, 15:39",The toxic twins of European finance return," OECD’s head of tax policy says protectionist measures by national governments had to be avoided   
            "
463,government+policy,"Tue, Feb 23, 2016, 06:00",Japan economy shrinks more than expected in fourth quarter ," Fitch makes unusual decision  to upgrade Ireland’s debt rating during election    
            "
464,government+policy,"Tue, Feb 23, 2016, 01:00",Arthur Beesley: Country’s tax policy is not built on election slogans," Plan is based on 4.3% GDP growth in 2016 and 3.6%  in 2017, down from 7% last year   
            "
465,government+policy,"Wed, Feb 17, 2016, 01:00","Beps averts collapse of global tax rules, conference told"," Bank of England forecasts Britain’s economy will grow 2.2% this year and 2.3%  in 2017   
            "
466,government+policy,"Tue, Feb 16, 2016, 10:35",Cantillon: Fitch gives Ireland a vote of approval," Bank moves benchmark rate below zero to revive economy amid volatility   
            "
467,government+policy,"Mon, Feb 15, 2016, 09:02",FG economic plan: Do the numbers add up?,"   Concern about external risks has bank forecasting strong but slower growth in 2017 
            "
468,government+policy,"Mon, Feb 15, 2016, 07:59","BoE cuts growth outlook, policymaker drops rate hike call","   Downing Street backs chancellor over tax settlement after initial hesitation 
            "
469,government+policy,"Fri, Feb 12, 2016, 07:15",Bank of Japan stuns markets with negative rate surprise," Regulator forecasts growth for 2016 of almost 5% but notes growing uncertainty over China and market turbulence   
            "
470,government+policy,"Wed, Feb 10, 2016, 12:42","Irish economy to grow 4.8% in 2016, says Central Bank"," Vying with host of world and business leaders, Kenny and IDA chief are in diplomatic overdrive    
            "
471,government+policy,"Sat, Feb 6, 2016, 01:00",George Osborne faces fresh quiz over £130m Google tax deal," Cost of borrowing could rise short-term if vote leads to  political uncertainty, says bank   
            "
472,government+policy,"Thu, Feb 4, 2016, 18:58",Central Bank says money for tax cuts should go towards deficit," Mario Draghi promises a March review of monetary policy   
            "
473,government+policy,"Thu, Feb 4, 2016, 13:01",Ireland fights to sell positive story despite gloomy mood at Davos ," Report emerges as Fine Gael  set to campaign on election plan for shelving  universal levy   
            "
474,government+policy,"Fri, Jan 29, 2016, 07:50",Danske warning over ‘muddled’ election outcome," Fears as Chinese growth slows to rates not seen          for 25 years   
            "
475,government+policy,"Wed, Jan 27, 2016, 01:03",ECB  opens door to lower rates as ‘downside risks’ flagged," After years of double-expansion, China is now getting used to more moderate growth   
            "
476,government+policy,"Wed, Jan 27, 2016, 01:01",International Monetary Fund opposes further USC cuts," Reservations over estimates based on ‘strong but volatile’ corporate tax receipts
            "
477,government+policy,"Tue, Jan 26, 2016, 11:02",IMF warns  global economic growth could be derailed,"   The Chinese government is trying to sell the idea of slower, consumption and services-based growth 
            "
478,government+policy,"Fri, Jan 22, 2016, 06:00",Chinese economic growth at lowest level in 25 years," As Asian economies grow, demand for goods and services from Europe will increase   
            "
479,government+policy,"Fri, Jan 22, 2016, 01:00",Brussels anxious over increased Government spending," Free movement of cash  cannot be sustained  when the  costs are so devastating   
            "
480,government+policy,"Thu, Jan 21, 2016, 13:24",China is facing into a period of  painful economic adjustments ," The Central Bank governor spoke to Arthur Beesley, economics editor of The  Irish Times   
            "
481,government+policy,"Wed, Jan 20, 2016, 01:00",Exporters look to Europe while waiting for the world to change," Interview: Mortgage limits may go up or down but the new era of credit control is here to stay, says governor of the Central Bank Philip Lane   
            "
482,government+policy,"Wed, Jan 20, 2016, 01:00",Whisper it: capital controls might be on the way back," Shares fell more than 7% in 30 minutes, but policy response not welcomed   
            "
483,government+policy,"Tue, Jan 19, 2016, 09:03",Philip Lane interview: edited transcript," General election and possible Brexit will be key determinants of economic health in 2016    
            "
