Envior_ID,Name_Envior,Date_Envior,Headline_Envior,Description_Envior
206,weather,"Nov 19, 2018",‘Smart Atlantic way’ could narrow east-west economic divide – report," Finnish Helsinki region and Scottish highlands already providing models
            "
207,weather,"Nov 5, 2018",UK services sector slows to seven-month low," Brexit continues to foster gloomy outlook
            "
208,weather,"Oct 17, 2019",Brexit deal positive – but dangers haven’t gone away," Cliff Taylor: The backstop is gone, replaced by a permanent arrangement for the North
            "
209,weather,"Oct 3, 2019","Interconnector is not just about electricity, it's about power"," John Fitzgerald: if Ireland is to generate 40% of its electricity from wind we need to double our interconnection with Britain and France
            "
210,weather,"Aug 18, 2019",Chris Johns: UK facing a future as a failed state after Brexit," Hard Brexit on October 31st won’t be the end, merely the start of an even more chaotic phase
            "
211,weather,"Aug 2, 2019","Apple’s Irish profits, Kennedy Wilson’s Irish growth, and the future of INM"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
212,weather,"Jul 3, 2019",Higgins welcomes bounce in German-Irish trade," President cites it as proof of ‘strong and enduring’ bilateral relationship
            "
213,weather,"May 17, 2019",John FitzGerald: Climate change and the end of an empire," Collapse of Rome shows how failure to adapt can have catastrophic consequences
            "
214,weather,"Apr 1, 2019",US retail sales unexpectedly ease in February," Fall may signal further headwinds for the economy
            "
215,weather,"Jan 6, 2019",Australia braces for hard landing in housing market," OECD issues warning as Sydney house prices record biggest monthly fall for 14 years
            "
216,weather,"Nov 19, 2018",‘Smart Atlantic way’ could narrow east-west economic divide – report," Finnish Helsinki region and Scottish highlands already providing models
            "
217,weather,"Nov 5, 2018",UK services sector slows to seven-month low," Brexit continues to foster gloomy outlook
            "
218,weather,"Oct 17, 2019",Brexit deal positive – but dangers haven’t gone away," Cliff Taylor: The backstop is gone, replaced by a permanent arrangement for the North
            "
219,weather,"Oct 3, 2019","Interconnector is not just about electricity, it's about power"," John Fitzgerald: if Ireland is to generate 40% of its electricity from wind we need to double our interconnection with Britain and France
            "
220,weather,"Aug 18, 2019",Chris Johns: UK facing a future as a failed state after Brexit," Hard Brexit on October 31st won’t be the end, merely the start of an even more chaotic phase
            "
221,weather,"Aug 2, 2019","Apple’s Irish profits, Kennedy Wilson’s Irish growth, and the future of INM"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
222,weather,"Jul 3, 2019",Higgins welcomes bounce in German-Irish trade," President cites it as proof of ‘strong and enduring’ bilateral relationship
            "
223,weather,"May 17, 2019",John FitzGerald: Climate change and the end of an empire," Collapse of Rome shows how failure to adapt can have catastrophic consequences
            "
224,weather,"Apr 1, 2019",US retail sales unexpectedly ease in February," Fall may signal further headwinds for the economy
            "
225,weather,"Jan 6, 2019",Australia braces for hard landing in housing market," OECD issues warning as Sydney house prices record biggest monthly fall for 14 years
            "
226,weather,"Nov 19, 2018",‘Smart Atlantic way’ could narrow east-west economic divide – report," Finnish Helsinki region and Scottish highlands already providing models
            "
227,weather,"Nov 5, 2018",UK services sector slows to seven-month low," Brexit continues to foster gloomy outlook
            "
228,weather,"Oct 17, 2019",Brexit deal positive – but dangers haven’t gone away," Cliff Taylor: The backstop is gone, replaced by a permanent arrangement for the North
            "
229,weather,"Oct 3, 2019","Interconnector is not just about electricity, it's about power"," John Fitzgerald: if Ireland is to generate 40% of its electricity from wind we need to double our interconnection with Britain and France
            "
230,weather,"Aug 18, 2019",Chris Johns: UK facing a future as a failed state after Brexit," Hard Brexit on October 31st won’t be the end, merely the start of an even more chaotic phase
            "
231,weather,"Aug 2, 2019","Apple’s Irish profits, Kennedy Wilson’s Irish growth, and the future of INM"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
232,weather,"Jul 3, 2019",Higgins welcomes bounce in German-Irish trade," President cites it as proof of ‘strong and enduring’ bilateral relationship
            "
233,weather,"May 17, 2019",John FitzGerald: Climate change and the end of an empire," Collapse of Rome shows how failure to adapt can have catastrophic consequences
            "
234,weather,"Apr 1, 2019",US retail sales unexpectedly ease in February," Fall may signal further headwinds for the economy
            "
235,weather,"Jan 6, 2019",Australia braces for hard landing in housing market," OECD issues warning as Sydney house prices record biggest monthly fall for 14 years
            "
236,weather,"Nov 19, 2018",‘Smart Atlantic way’ could narrow east-west economic divide – report," Finnish Helsinki region and Scottish highlands already providing models
            "
237,weather,"Nov 5, 2018",UK services sector slows to seven-month low," Brexit continues to foster gloomy outlook
            "
238,weather,"Oct 17, 2019",Brexit deal positive – but dangers haven’t gone away," Cliff Taylor: The backstop is gone, replaced by a permanent arrangement for the North
            "
239,weather,"Oct 3, 2019","Interconnector is not just about electricity, it's about power"," John Fitzgerald: if Ireland is to generate 40% of its electricity from wind we need to double our interconnection with Britain and France
            "
240,weather,"Aug 18, 2019",Chris Johns: UK facing a future as a failed state after Brexit," Hard Brexit on October 31st won’t be the end, merely the start of an even more chaotic phase
            "
241,weather,"Aug 2, 2019","Apple’s Irish profits, Kennedy Wilson’s Irish growth, and the future of INM"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
242,weather,"Jul 3, 2019",Higgins welcomes bounce in German-Irish trade," President cites it as proof of ‘strong and enduring’ bilateral relationship
            "
243,weather,"May 17, 2019",John FitzGerald: Climate change and the end of an empire," Collapse of Rome shows how failure to adapt can have catastrophic consequences
            "
244,weather,"Apr 1, 2019",US retail sales unexpectedly ease in February," Fall may signal further headwinds for the economy
            "
245,weather,"Jan 6, 2019",Australia braces for hard landing in housing market," OECD issues warning as Sydney house prices record biggest monthly fall for 14 years
            "
246,weather,"Nov 19, 2018",‘Smart Atlantic way’ could narrow east-west economic divide – report," Finnish Helsinki region and Scottish highlands already providing models
            "
247,weather,"Nov 5, 2018",UK services sector slows to seven-month low," Brexit continues to foster gloomy outlook
            "
248,climate,"Sep 13, 2019","Dublin house prices fall, Stillorgan redevelopment, and what a no-deal Brexit means"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
249,climate,"Sep 13, 2019",`If we had defaulted how strong would EU solidarity be now?'," Friday interview: John Moran, former Department of Finance mandarin
            "
250,climate,"Sep 2, 2019",Activist demands in listed companies fall in first half," Worsening global economy likely cause of decreased activism, report finds
            "
251,climate,"Aug 27, 2019",Record employment with 2.3m people at work in Irish economy," Minister welcomes figures but warns of likely impact of no-deal Brexit on Budget plans
            "
252,climate,"Aug 23, 2019",Germany’s golden economic run of the Merkel era may be over," Strong consumer spending not enough to counter weakening industrial production
            "
253,climate,"Aug 18, 2019",Chris Johns: UK facing a future as a failed state after Brexit," Hard Brexit on October 31st won’t be the end, merely the start of an even more chaotic phase
            "
254,climate,"Aug 16, 2019","Degrowth fetishists, just be honest: you would make people poorer to fight climate change"," It is a fact that if people do less and use less, then GDP will fall
            "
255,climate,"Jul 25, 2019",Farmers could boost their incomes by switching from beef," John FitzGerald: The economics of beef are on a knife edge – changing makes sense
            "
256,climate,"Jul 18, 2019", Tax strategy papers: the key highlights," Income tax; changes to USC and PRSI and levies on carbon usage, motoring and food supplements all feature
            "
257,climate,"Jul 18, 2019",Q&A: What the motor tax changes could mean for you," How current motorists, new car buyers and those importing from the UK will be affected
            "
258,climate,"Jul 17, 2019","€50,000 threshold for higher rate tax will cost €2.3bn"," Number of workers paying higher rate tax has more than doubled since 2010
            "
259,climate,"Jul 8, 2019",Turkish lira weakens 2.1% after central bank governor dismissed," Concern that monetary policy will be eased too quickly as president dismisses governor
            "
260,climate,"May 17, 2019",John FitzGerald: Climate change and the end of an empire," Collapse of Rome shows how failure to adapt can have catastrophic consequences
            "
261,climate,"May 17, 2019",How do you raise carbon taxes without hitting labourers more than lawyers?," Caveat: Good luck with handling this one in October’s budget, Paschal Donohoe
            "
262,climate,"May 10, 2019",IMF seeks healthcare review to avoid spending overruns," Report also suggests further limits to consumer borrowing
            "
263,climate,"Apr 18, 2019",Ireland has to move on carbon tax – why are we still arguing about it?," Smart Money: We need to cut emissions and avoid big fines – but politicians are nervous
                    "
264,climate,"Apr 15, 2019",EU to seek rapid tariff-reduction deal with the US," Negotiations were endorsed after EU governments overrode French objections
            "
265,climate,"Mar 25, 2019",Survey finds business morale in Germany improves," Germany’s manufacturing industry has shrunk at quickest rate in more than 6½ years
            "
266,climate,"Feb 27, 2019",Ireland paid €200m net to European Union in 2017," Agriculture and rural development received 86% of €1.8bn paid out by bloc, report shows
            "
267,climate,"Feb 12, 2019","Rise in sales masks declining footfall, warns Retail Ireland"," Industry body’s retail monitor shows value of shopping rose 2.7% in final quarter of 2018
            "
268,climate,"Feb 1, 2019","Ireland Strategic Investment Fund to finance 25,000 homes"," Fund managed by NTMA to back building of homes ‘ideally at the more affordable end’
            "
269,climate,"Jan 25, 2019",Saudis come in from the cold after ‘Davos in the Desert’ flop," Davos 2019 diary: Teen environmental activist unsure is she was listened to by elders
            "
270,climate,"Jan 15, 2019",No-deal Brexit: Northern Irish businesses ‘could not cope’," Lobby groups say protecting all-island benefits of Belfast Agreement is vital for future
            "
271,climate,"Jan 14, 2019",Brussels pushes to end national vetoes on taxation," Juncker wants to roll back tax powers that helped Ireland, Luxembourg and Malta
            "
272,climate,"Jan 3, 2019",The three big trends which will affect your finances this year," Smart Money: Brexit, world economy wobbles and interest rates are vital signs for 2019
                    "
273,climate,"Nov 20, 2018",CSO figures at odds with booming financial sector," Labour Force Survey detects sharp fall in jobs in finance sector contrary to perceptions
            "
274,climate,"Nov 13, 2018","Post-Brexit travel rights, Apple shares slide, Black Friday, and Irish rugby’s land sale"," Business Today: the best news, analysis and comment from ‘The Irish Times’ business desk
            "
275,climate,"Oct 26, 2018","Wedding planners, Brexit marchers and a voyage on the good ship Titanic II"," Planet Business: A week of unexpected comebacks
            "
276,climate,"Oct 19, 2018","Fortnite furore, Trump’s climate change, and the ‘backstop to the backstop’"," Planet Business: Also in the news – it’s a Betfair cop, and farewell Microsoft’s Paul Allen
            "
277,climate,"Oct 9, 2018",NTMA hoping to raise up to €3bn from green bond sale," Green bonds are aimed at funding projects that promote climate change mitigation
            "
278,climate,"Oct 8, 2018",US economists win Nobel prize for work on climate change," William D Nordhaus and Paul M Romer awarded the 2018 Nobel Prize in Economics
            "
279,climate,"Sep 18, 2018",Lifting of milk quotas raises farming output to over €8bn," Central Bank report warns of potential negative shocks from Brexit, CAP reductions
            "
280,climate,"Sep 14, 2018",State continues to demolish viable housing stock instead of repairing it," Government should address housing shortages and climate change at the same time
            "
281,climate,"Aug 13, 2018",Sunny July gives consumer sentiment a temporary lift," Weather may have helped sentiment rise last month, but major economic worries remain
            "
282,climate,"Jul 17, 2018",EU and Japan sign one of history’s largest trade deals," Move seen as counterweight to offset US protectionism under Donald Trump
            "
283,climate,"Jul 9, 2018",NTMA chief urges State to sell bank shares as ‘dark clouds’ gather," Investors in Irish bonds would prefer to see Government taking every opportunity to pay down debt, Conor O’Kelly says
            "
284,climate,"Jul 2, 2018",Ireland tipped to jump on ‘green bonds’ bandwagon," Green bonds are issued to finance climate and environmental investments
            "
285,climate,"Jun 19, 2018",OECD undercuts ESRI’s growth forecast for Irish economy this year," Group says Irish economy will grow by 4% this year, below ESRI’s prediction of 4.7%
            "
286,climate,"Jun 8, 2018",Mike Bloomberg: ‘Make America Great Again? It’s never been greater'," Interview: Former New York mayor on preaching and paying for health and climate action
            "
287,climate,"Jun 4, 2018",Ibec spent €1.3m lobbying in the EU last year," Irish body third biggest spender on lobbying in EU, behind two groups in Germany
            "
288,climate,"May 25, 2018","‘Dirty Brexit’, trade deadlocks and Facebook’s ‘monster’ questions"," Planet Business: The rise of Stacey Cunningham, the fall of Aussie house prices
            "
289,climate,"Apr 26, 2018",Timber industry sees Border checks as part of solution in hard Brexit," Copy measures in use on US-Canadian and Norwegian-Swedish borders, report suggests
            "
290,climate,"Mar 9, 2018","Homes of nearly 8,200 Irish mortgage holders repossessed since crash"," Central Bank governor reveals extent of house repossession in Ireland since crisis
            "
291,climate,"Feb 9, 2018",Greece plots bailout exit – via medical cannabis and golden visas," Greece on cusp of exiting Troika bailout, but passions still high after years of harsh austerity
            "
292,climate,"Feb 8, 2018",Alexis Tsipras says Greece will not need credit line when it exits bailout," Greece planning to raise €19bn in bond sales as buffer
            "
293,climate,"Jan 27, 2018",Europe rediscovers its mojo in Davos," IMF sees euro zone economy growing 2% this year and 2.2% in 2019
            "
294,climate,"Jan 26, 2018",Selfie protocol and staying on message in and away from the Davos spotlight," World Economic Forum backdrop is a buoyant global economy and stock-market highs
            "
295,climate,"Jan 24, 2018",Trump’s Davos advance party delivers mixed messages to global elite," US ready for trade wars, commerce secretary indicates
            "
296,climate,"Jan 23, 2018",Davos: Fashion gets a seat at the table," Sinead Burke will give talks on design, inclusion and disability
            "
297,climate,"Jan 10, 2018",Trump will dominate Davos as no US leader has before," Provocateur-in-chief practised at irking elites who celebrate global order
            "
298,climate,"Jan 2, 2018",The new world disorder and the fracturing of the west," The geopolitical situation remains tense, although the world economy is improving
            "
299,climate,"Dec 29, 2017",Business review of 2017: Brexit and Trump fail to halt global boom," This year's international economic renaissance shows how forecasts are more art than science
                    "
300,climate,"Nov 24, 2017","Inside track: Madeline McKeever, founder, Brown Envelope Seeds"," ‘Paperwork and slow broadband are the most frustrating things about running an SME’
            "
301,climate,"Oct 16, 2017",Chris Johns: Hard Brexit is no longer a risk – it is the UK’s objective," Should the hard Brexiteers get their wish, the first casualty will be sterling
            "
302,climate,"Oct 5, 2017","State may face €610m climate bill in 2020, says Dáil committee"," Committee on Budgetary Oversight says climate change still not part of budget planning
            "
303,climate,"Sep 14, 2017",Government review reiterates capital spending commitments," Minister for Finance Paschal Donohoe launches mid-term review of spending plans
            "
304,climate,"Sep 1, 2017",John FitzGerald: A fair legal framework is crucial for business," Firms setting up in Ireland know under what laws they will operate
            "
305,climate,"Aug 16, 2017",July job vacancies drop as number seeking work increases," Morgan McKinley’s employment monitor sees particularly strong demand for engineers
            "
306,climate,"Jul 13, 2017",House survey shows prices in North are holding up," Domestic uncertainty not affecting North’s house prices as those in rest of UK fall
            "
307,climate,"Jul 12, 2017",Trump’s clash of civilisations rhetoric is out of step with reality," Martin Wolf: Going it alone will cost the US domestically and internationally
            "
308,climate,"Jul 9, 2017",G20 leaders restate opposition to protectionism," Trump isolated on climate change as group issues dissenting conclusions for first time
            "
309,climate,"Jul 6, 2017",EU strikes free-trade deal with Japan," Brussels eyes openings for agriculture while Tokyo looks to boost car exports
            "
310,climate,"May 22, 2017",Sales and marketing firm to create 25 new jobs in Dublin," NK Communications to increase number of  sales agents after Energia contract extension   
            "
311,climate,"May 14, 2017",G7 keeps watered-down pledge to promote free trade," Finance officials hope for breakthrough in meetings with US president later this year   
            "
312,climate,"Mar 28, 2017",Triggering of Brexit a tragedy for EU and Britain ," If a deal is to be reached with the EU, the UK will need to make concessions   
            "
313,climate,"Jan 26, 2017",Hayes says Ireland should issue green bonds," Irish MEP says green bonds would help finance renewable projects and send signal environmental issues are ‘national priority’   
            "
314,climate,"Jan 25, 2017",‘Trump effect’ yet to be seen in German business morale," Munich-based IFO says firms are cautious despite lack of action on protectionist threats    
            "
315,climate,"Jan 21, 2017",Davos: globalisation is in trouble but populism is not the answer,"  Those in world’s most powerful  institutions  confront popular rejection of their values   
            "
316,climate,"Jan 13, 2017",Planet Business: the weird and wonderful world of finance," From drones to conceptual driving and the ’Jenga effect’   
            "
317,climate,"Jan 9, 2017",Enterprise Ireland advises firms to prepare for hard Brexit," Agency boss says UK agencies are actively courting Irish agri-food companies   
            "
318,climate,"Jan 2, 2017",Survey shows German factory growth close to three-year high in December," Growth driven by rising demand from Asia and the US, says Markit   
            "
319,climate,"Dec 19, 2016","Ireland fails to justify selective treatment of Apple, commission says"," Irish Apple subsidiaries used in way that ‘did not correspond to economic reality’    
            "
320,climate,"Nov 24, 2016",Slight rise in European shares while Iseq edges up .65%," BoI and housebuilder Abbey rise on back of Central Bank move on mortgage lending   
            "
321,climate,"Nov 4, 2016",Brexiteers’ reaction to ruling may confirm they are bonkers," Is Theresa May playing a complex game with the ultimate goal of delivering a soft Brexit?    
            "
322,climate,"Nov 4, 2016",Cracks start to show in Germany-China trade relations ," As Germany benefits from openness, it fears China’s supply chain will devour its technology    
            "
323,climate,"Nov 1, 2016",Irish businesses and households confident despite Brexit risks," Economic confidence steady  as weak pound begins to affect Irish businesses   
            "
324,climate,"Oct 28, 2016",Euro zone economic sentiment jumps in October," Rise driven by optimism in industry and services, European Commission survey finds   
            "
325,climate,"Oct 11, 2016",Budget 2017: Full text of Paschal Donohoe’s speech," Minister for Public Expenditure and Reform outlines Government’s spending plans    
            "
326,climate,"Oct 11, 2016",Budget 2017: Full text of Michael Noonan’s speech," Read about all the measures announced by Minister for Finance in Dáil today    
            "
327,climate,"Oct 7, 2016",John FitzGerald: Populism set to trump bravery  in Budget 2017," Intensive lobbying means short-term moves  eclipse daring options to reallocate funding   
            "
328,climate,"Sep 23, 2016",Green investment to boost global economy - Bank of England governor ," €45 trillion investment needed in energy efficiency to meet UN global warming targets   
            "
329,climate,"Sep 23, 2016",Door closing on prospects of  deal to open borders to trade  ," EU officials concede TTIP  likely to be parked until new US administration is bedded in    
            "
330,climate,"Sep 15, 2016","Central Bank pushed for  property tax, water charges in 2009"," Pre-budget letters reveal  Patrick Honohan’s plans to extend State revenue base   
            "
331,climate,"Aug 30, 2016",EU orders Ireland to recoup up to €13bn in unpaid taxes from Apple," Apple given selective treatment through two tax rulings, European Commission charges   
            "
332,climate,"Aug 19, 2016",Brexit fuels debate over State’s minimum wage," Business groups seize on UK vote and Low Pay Commission dissent to oppose hikes   
            "
333,climate,"Jul 22, 2016",Consumer  survey finds Dubliners concerned about jobs," Irish consumer sentiment weakened in the second quarter, says KBC Bank and ESRI   
            "
334,climate,"Jul 20, 2016","Martin Wolf: Trump’s answer is ‘clear, simple and wrong’"," Stagnating incomes will not be solved by a dose of populist protectionism   
            "
335,climate,"Jul 8, 2016",Carbon tax essential   for  decarbonising our economies," Emissions trading scheme ran aground when recession made permits worthless   
            "
336,climate,"Jul 4, 2016",Brexit: Feelings cannot prevail over reason," We need to contain the contagion and fix what ails the EU    
            "
337,climate,"Jun 20, 2016",Brexit and you: Six ways your life might change after Thursday," It’s still too close to call it, but if the UK votes to Leave this week it won’t just be the Irish economy that will be hit - it will be all of us   
            "
338,climate,"May 24, 2016",Economist Brendan Walsh inspired generations of students ," Brendan Walsh was a sharp analyst of Irish economics and society    
            "
339,climate,"May 19, 2016","Brazil’s ‘Scissorhands’ turns to helping the developing world	"," Former finance minister of Latin American country is now with the World Bank   
            "
340,climate,"May 17, 2016",Breaking up (government departments) is hard to do," The  problems facing the Government will not be solved by reorganising departments    
            "
341,climate,"May 4, 2016",Martin Wolf: Brexit will damage the UK," Referendum is not about sovereignty. It is about how best to exercise the country’s power. And that is best done in the EU   
            "
342,climate,"May 3, 2016",John FitzGerald: Ireland must protect  interests under Brexit," Anything that may  destabilise the Belfast Agreement would be a major concern    
            "
343,climate,"Apr 26, 2016",Paul Krugman: Who you gonna call when the market melts?," The economic climate is far from being a threat-free zone for the next US president   
            "
344,climate,"Apr 19, 2016",Argentina makes triumphant return to bond markets with $16.5bn deal," Market pariah returns to market with one of the largest order books ever seen for an emerging markets bond    
            "
345,climate,"Apr 19, 2016",Brexit could ratchet up  pressure on Dublin housing market," Loss of 10,000 financial sector jobs in London may mean firms move in search of EU ‘asylum’    
            "
346,climate,"Apr 18, 2016",German stance on ECB shows European ideal is defunct," There is a reason why this is happening - not a good one, but a powerful one. Money.   
            "
347,climate,"Mar 17, 2016",British chancellor George Osborne is in traps of his own devising," Steady reduction in corporation tax suggests government is trying to turn  UK into Ireland   
            "
348,climate,"Mar 16, 2016",What to watch out for when the Fed meets," Steady stream of sturdy economic data and recovery in financial markets have bolstered the arguments of  policymakers who favour interest rate rises later this year   
            "
349,climate,"Feb 15, 2016",Arthur Beesley: Brexit dangers coming into focus for Irish firms," Uncertainty prevails until exact terms of any British exit from the EU are known    
            "
350,climate,"Jan 26, 2016",Steeling for China’s new status," One EU lobby group foresees 3.5 million jobs losses if status is granted   
            "
351,climate,"Jan 25, 2016",Stock markets fret that Fed rate move may have been premature," Central banks across the globe still have the wherewithal to exert influence    
            "
352,climate,"Jan 19, 2016",Davos 2016: the five big themes,"  World Economic Forum  to grapple with big issues  from climate change to  refugee crisis   
            "
353,climate,"Dec 21, 2015",Polish stocks plunge amid political street protests," Row over constitutional court sparks two weeks of street protests   
            "
354,climate,"Dec 8, 2015",Consumer confidence rises to a  10-year high," Strongest reading since January 2006 on post-Budget boost   
            "
355,climate,"Dec 1, 2015",Pricing a key tool to encourage  carbon-neutral energy," Tackling climate change requires incentivising new technology to produce ‘clean’ energy   
            "
356,climate,"Nov 24, 2015",German business morale shrugs off VW scandal," New data also shows economic growth led by private, government consumption   
            "
357,climate,"Oct 21, 2015",Resilient business community the key to Syria’s – eventual – rebirth," The cost of massive reconstruction is impossible to estimate, but Syria’s traditionally diverse economy will help when the time comes   
            "
358,climate,"Oct 8, 2015",What Dalkey thinks of Budget 2016," Did the people of Dalkey get what they wanted  for themselves and their community?   
            "
359,climate,"Sep 29, 2015",Euro zone economic sentiment at a four-year high," Overall economic sentiment up to 105.6 from 104.1 in August    
            "
360,climate,"Aug 31, 2015","Euro zone inflation steady in August, easing pressure on ECB"," Oil prices have fallen from above $60 a barrel in early July to around $43 last week   
            "
361,climate,"Aug 21, 2015",German consumer morale down slightly going into September," Income expectations  declined after reaching  highest level since reunification last month   
            "
362,climate,"Jul 22, 2015",Global regulators may soften rules for asset-backed financing," Basel Committee begins review into how much capital banks should hold    
            "
363,climate,"Jul 16, 2015",EC says  bailout programme ‘helped Ireland return to growth’," Review says Irish  structural reforms incomplete despite recovery   
            "
364,climate,"Jul 10, 2015",The great fall of China?,"   The Chinese stock market is surprisingly parochial, and its collapse may not have the global fallout many fear 
            "
365,climate,"Jun 26, 2015",Jim Yong Kim: World Bank chief seeks to slash extreme poverty ," Ahead of Dublin visit, health expert  discusses fighting poverty and sharing prosperity    
            "
366,climate,"May 22, 2015",German business morale weakens and dampens growth," Sentiment in  manufacturing sector weakened while  mood among retailers  picked up   
            "
367,climate,"May 12, 2015",Ireland urged to implement key economic reforms," EU commissioner Moscovici commends progress but wants high  public debt tackled   
            "
368,climate,"Apr 23, 2015",Rise in Dublin consumer sentiment reflects optimism in economy," Trends in consumer sentiment within the capital ’broadly similar’ to those nationwide    
            "
369,climate,"Apr 15, 2015",IMF raises prediction for Ireland’s growth rate," Irish economy forecast to expand 3.9% this year, up from 3.5% three weeks ago   
            "
370,climate,"Mar 3, 2015",Returns augurs well for Government prior to ‘spring statement’," Clamour to relax its stringent fiscal stance will increase   
            "
371,climate,"Feb 24, 2015",Finding out what makes people switch on and off," John FitzGerald looks at how the best way to approach the Irish Water issue and make savings   
            "
372,climate,"Feb 19, 2015",Tsipras and Merkel have ‘constructive’ phone call ," Germany has rejected Greece’s request for loan extension    
            "
373,climate,"Jan 9, 2015",IMF gives Ireland a mouthful," IMF  said Ireland should ‘internalise the externalities’ affecting its boom-bust-boom housing market   
            "
374,climate,"Dec 19, 2014",Ireland: fourth best little country in which to do business," State loses top spot in ‘Forbes’ annual list but still ranks sixth for ‘investor protection’   
            "
375,climate,"Dec 2, 2014",Juncker plan needs focus and speed to boost  economies –  Franco-German meeting," SPD leader calls for less talk and more action as he looks to replicate post-unification plan to deliver growth for Europe   
            "
376,climate,"Nov 12, 2014",An unethical bet in the climate casino," Opinion: Republican wins in US midterms have implications for humanity    
            "
377,climate,"Oct 21, 2014",ECB begins buying bonds to revive economy,"   Central bank focuses on short-dated debt held by French and Spanish banks 
            "
378,climate,"Oct 13, 2014",Bond yields hold near record lows after S&P downgrades," Investors are hoping the worsening economic climate will force more ECB stimulus measures    
            "
379,climate,"Sep 24, 2014",Clean growth is a safe bet in the climate casino," All but most obdurate sceptics must recognise  probability of irreversible climate change is much greater than zero   
            "
380,climate,"Sep 24, 2014",Slide in German business morale points to weak third quarter ,"  Ifo think tank’s business climate index falls for  fifth straight month in September    
            "
381,climate,"Sep 16, 2014",Ireland ranked top in Europe for trade confidence," New study reveals that Irish firms are feeling increasingly optimistic about the future   
            "
382,climate,"Sep 16, 2014",EU Chamber slams China’s competition policy," Overseas businesses  push back against what they see as unfair antitrust enforcement by Beijing   
            "
383,climate,"Sep 10, 2014",Key economic posts in Commission given to France and Britain," Juncker unveils new-look EU executive with Britain and France to oversee economic portfolios   
            "
384,climate,"Sep 5, 2014",Deflation threatens to derail Euro recovery," Almost six years after the economic crisis began, Europe cannot afford to face into a prolonged period of stagnation    
            "
385,climate,"Sep 4, 2014",Quantitative Easing would sow the seeds of crisis not recovery," Rather than help, the ECB’s policy could push the euro zone in the wrong direction   
            "
386,climate,"Aug 13, 2014",Monopolies are no friend of a healthy democracy," There are many  ways in which dominant businesses can harm us   
            "
387,climate,"Aug 12, 2014",Libertarian notion of US government is foolish fantasy," Is libertarian economics at all realistic?The answer is no   
            "
388,climate,"Jun 25, 2014",German consumer morale jumps to highest level in seven years," Consumers become more upbeat on prospects for Europe’s largest economy after ECB rate move  
            "
389,climate,"Jun 24, 2014",German business sentiment dips as concern over Iraq grows," Munich-based Ifo think tank’s business climate index drops for second consecutive month   
            "
390,climate,"Jun 18, 2014",A climate fix would ruin investors," Opinion: humanity is making risky climate bets and ExxonMobil may be proved right    
            "
391,climate,"Jun 14, 2014",‘We’ll have to wait a number of years to see if it’s sustainable’," Businesspeople, jobhunters and others sense a gradual if fragile pickup in the economy   
            "
392,climate,"Jun 4, 2014",Why banking crises happen in the United States but not in Canada," A new analysis of financial crises contrasts with former treasury secretary Tim  Geithner’s   
            "
393,climate,"Jun 3, 2014",European firms say ‘Golden Age’  in China is over," Market access and regulatory barriers cost EU businesses €21.3 billion   
            "
394,climate,"May 23, 2014",Survey finds confidence in Irish economy growing but still fragile," Latest Global Economic Pulse survey  includes Ireland in dataset as a once-off   
            "
395,climate,"May 13, 2014",The US right’s new reason for opposing action on climate change: it’s Marxist," Justice Scalia’s criticism of an attempt to curb  pollution  gives a taste of what’s to come   
            "
396,environmental+policies,"Nov 22, 2016",Trump has done what he said he would do  on Pacific trade deal  ," Decision to withdraw from Pacific  deal will add to  concerns about Trump’s  wider trade policy and its impact on the world economy   
            "
397,environmental+policies,"Nov 11, 2016",Ireland faces major disruption  if Trump delivers on economic policies ," Big cut in US corporation tax rate would lessen incentive to invest abroad   
            "
398,environmental+policies,"Sep 23, 2016",Green investment to boost global economy - Bank of England governor ," €45 trillion investment needed in energy efficiency to meet UN global warming targets   
            "
399,environmental+policies,"Sep 21, 2016",Paul Krugman: how we vote in US election really matters," Has anybody actually read the Libertarian candidate’s manifesto?   
            "
400,environmental+policies,"Jun 7, 2016",European firms facing ‘increasingly hostile’ environment in China," Survey by EU Chamber regrets long-heralded reforms not coming through   
            "
401,environmental+policies,"Oct 13, 2015",Brendan Howlin: Full Budget 2016 speech," ‘Today, we reap the benefits of the hard work and resilience of the Irish people’   
            "
402,environmental+policies,"May 13, 2015",US pluriteral trade agreements carry significant risks," Since the failure of the “Doha round”, the focus has shifted to exclusive agreements    
            "
403,environmental+policies,"Mar 24, 2015",St Patrick’s Day and China’s NPC offer insights into Ireland’s relationship with Asia," End of annual parliament in China prompts reform calls   
            "
404,environmental+policies,"Nov 12, 2014",An unethical bet in the climate casino," Opinion: Republican wins in US midterms have implications for humanity    
            "
405,climate+change,"Sep 2, 2019",Activist demands in listed companies fall in first half," Worsening global economy likely cause of decreased activism, report finds
            "
406,climate+change,"Aug 16, 2019","Degrowth fetishists, just be honest: you would make people poorer to fight climate change"," It is a fact that if people do less and use less, then GDP will fall
            "
407,climate+change,"Jul 25, 2019",Farmers could boost their incomes by switching from beef," John FitzGerald: The economics of beef are on a knife edge – changing makes sense
            "
